价格,面积,编号,户型,楼层,位置1,位置2,小区,地铁,每平米价格
1770.0,9.0,141231-A,4室1卫,5/9层,大兴区,清源路,兴华园,地铁：距4号线大兴线清源路站600米,196.66666666666666
2340.0,9.0,20294-C,3室1卫,7/28层,朝阳区,黄渠,泰福苑三区,地铁：距6号线黄渠站500米,260.0
1750.0,9.0,21072-C,4室1卫,6/6层,通州区,物资学院路,富河园,地铁：距6号线物资学院路站1250米,194.44444444444446
2500.0,10.0,2162-B,3室1卫,12/26层,朝阳区,高碑店,金隅汇星苑,地铁：距6号线青年路站1450米,250.0
1950.0,8.0,20986-C,4室1卫,20/28层,丰台区,樊羊路,花香东苑,地铁：距房山线樊羊路站450米,243.75
1900.0,8.0,31867-B,4室1卫,1/6层,顺义区,花梨坎,蓝星花园,地铁：距15号线花梨坎站600米,237.5
2490.0,15.0,43950-A,4室1卫,7/13层,丰台区,樊羊路,益辰欣园,地铁：距房山线樊羊路站450米,166.0
2260.0,11.0,49608-A,3室1卫,2/6层,大兴区,亦庄文化园,听涛雅苑,地铁：距亦庄线亦庄文化园站950米,205.45454545454547
4990.0,41.0,58375-A,1室1卫,8/23层,丰台区,大葆台,御景春天,地铁：距房山线大葆台站900米,121.70731707317073
1930.0,11.0,64192-A,4室1卫,4/6层,丰台区,和义,久敬佳园二区,地铁：距8号线南段和义站850米,175.45454545454547
3750.0,9.0,65014-A,2室1卫,2/6层,海淀区,大钟寺,学院南路60号院,"地铁：距12号线,13号线大钟寺站1150米",416.6666666666667
2990.0,9.0,6958-B,4室1卫,3/28层,朝阳区,望京西,湖光壹号,"地铁：距13号线,15号线望京西站550米",332.22222222222223
2010.0,9.0,80611-B,3室1卫,10/18层,朝阳区,管庄,远洋一方润园,地铁：距八通线管庄站950米,223.33333333333334
3160.0,10.0,914-B,3室1卫,15/18层,朝阳区,光熙门,西坝河北里,地铁：距13号线光熙门站500米,316.0
2090.0,6.0,10026-A,3室1卫,2/10层,丰台区,方庄,芳星园二区,地铁：距14号线东段方庄站250米,348.3333333333333
1700.0,9.0,121522-C,5室2卫,11/11层,通州区,北运河东,荔景园,地铁：距6号线北运河东站1100米,188.88888888888889
2780.0,10.0,134829-C,4室1卫,11/28层,朝阳区,百子湾,石门新居,地铁：距7号线百子湾站250米,278.0
3410.0,11.0,17622-A,2室1卫,22/25层,朝阳区,北苑路北,恒大名都,地铁：距5号线北苑路北站1200米,310.0
6190.0,56.0,23340-A,1室1卫,21/26层,石景山区,八宝山,远洋山水,地铁：距1号线八宝山站650米,110.53571428571429
1730.0,12.0,58529-B,3室1卫,3/6层,通州区,北运河东,紫运园,地铁：距6号线北运河东站1200米,144.16666666666666
1790.0,16.0,66818-A,4室1卫,5/6层,通州区,万盛东,群芳三园,地铁：距7号线万盛东站1100米,111.875
2590.0,8.0,71186-A,3室1卫,6/18层,西城区,陶然亭,清芷园,地铁：距4号线大兴线陶然亭站550米,323.75
1880.0,9.0,7663-A,3室1卫,2/6层,顺义区,国展,天竺花园,地铁：距15号线国展站1300米,208.88888888888889
5560.0,60.0,129128-A,1室1卫,5/18层,朝阳区,黄渠,泰福苑三区,地铁：距6号线黄渠站500米,92.66666666666667
2060.0,18.0,135781-C,3室1卫,3/6层,通州区,通州北关,西潞苑小区,地铁：距6号线通州北关站1950米,114.44444444444444
2280.0,10.0,138639-C,4室2卫,10/18层,朝阳区,褡裢坡,金福家园,地铁：距6号线褡裢坡站1000米,228.0
1660.0,9.0,151047-B,2室1卫,2/6层,通州区,土桥,砖厂中路201号院,地铁：距八通线土桥站750米,184.44444444444446
2010.0,9.0,17982-C,3室1卫,7/15层,顺义区,花梨坎,枫泉花园,地铁：距15号线花梨坎站700米,223.33333333333334
3280.0,13.0,2576-C,4室2卫,15/24层,朝阳区,惠新西街北口,盛和家园,地铁：距5号线惠新西街北口站650米,252.30769230769232
1940.0,9.0,33553-A,3室1卫,8/19层,大兴区,荣昌东街,南海家园七里,地铁：距亦庄线荣昌东街站3700米,215.55555555555554
1360.0,11.0,34899-B,3室1卫,9/15层,房山区,篱笆房,加州水郡三期,地铁：距房山线篱笆房站2200米,123.63636363636364
4970.0,49.0,47010-A,1室1卫,9/14层,丰台区,丽泽商务区,万润风景,"地铁：距16号线,14号线东段丽泽商务区站1100米",101.42857142857143
1640.0,12.0,48144-C,3室1卫,3/6层,昌平区,昌平,京科苑,地铁：距昌平线昌平站1600米,136.66666666666666
2520.0,11.0,60150-A,3室1卫,26/29层,丰台区,丰台站,三环新城7号院,"地铁：距10号线,16号线丰台站站450米",229.0909090909091
